compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
g++,suma,-O0,baseline,50,1744.356,1742.029,1746.545,6904,6880,6908,,,
g++,suma,-O0,execstack,50,1748.144,1746.806,1750.662,6892,6874,6914,1.0022,1.0005,1.0039
g++,suma,-O0,fortify1,50,1744.001,1741.796,1744.793,6888,6880,6906,0.9998,0.9977,1.0012
g++,suma,-O0,fortify2,50,1741.703,1739.143,1743.551,6906,6882,6922,0.9985,0.9965,1.0001
g++,suma,-O0,fortify_off,50,1745.601,1743.458,1747.717,6904,6880,6920,1.0007,0.9990,1.0024
g++,suma,-O0,hardening_baseline,50,1780.206,1779.036,1782.276,6890,6866,6912,1.0206,1.0190,1.0221
g++,suma,-O0,no_pie,50,1842.349,1840.157,1842.904,6894,6870,6910,1.0562,1.0540,1.0576
g++,suma,-O0,no_plt,50,1728.036,1727.761,1728.526,6894,6880,6908,0.9906,0.9894,0.9921
g++,suma,-O0,no_stack_protector,50,1747.124,1745.542,1749.968,6904,6872,6920,1.0016,0.9998,1.0036
g++,suma,-O0,noexecstack,50,1747.706,1745.996,1748.517,6900,6882,6906,1.0019,1.0002,1.0034
g++,suma,-O0,pie,50,1744.564,1741.665,1747.551,6882,6858,6900,1.0001,0.9979,1.0020
g++,suma,-O0,relro_full,50,1748.802,1747.580,1750.728,6888,6876,6902,1.0025,1.0010,1.0041
g++,suma,-O0,stack_protector,50,1749.498,1748.604,1750.723,6894,6880,6912,1.0029,1.0016,1.0044
g++,suma,-O0,stack_protector_all,50,2347.806,2343.110,2350.910,6888,6878,6906,1.3459,1.3423,1.3486
g++,suma,-O0,stack_protector_strong,50,1781.097,1779.870,1782.799,6910,6896,6932,1.0211,1.0195,1.0227
g++,suma,-O0,ubsan,50,3104.559,3100.218,3110.414,7008,6960,7018,1.7798,1.7759,1.7840
g++,suma,-O1,asan,50,241.014,240.840,241.205,14244,14164,14324,2.8011,2.7903,2.8104
g++,suma,-O1,baseline,50,86.044,85.766,86.376,6882,6844,6900,,,
g++,suma,-O1,execstack,50,86.038,85.747,86.263,6896,6880,6908,0.9999,0.9947,1.0042
g++,suma,-O1,fortify1,50,85.743,85.519,85.988,6892,6860,6908,0.9965,0.9920,1.0009
g++,suma,-O1,fortify2,50,85.916,85.784,86.246,6900,6876,6924,0.9985,0.9950,1.0035
g++,suma,-O1,fortify_off,50,85.885,85.750,86.068,6890,6880,6912,0.9982,0.9944,1.0019
g++,suma,-O1,hardening_baseline,50,86.232,85.850,86.397,6892,6878,6912,1.0022,0.9964,1.0059
g++,suma,-O1,no_pie,50,82.147,82.004,82.312,6892,6850,6906,0.9547,0.9511,0.9584
